Var1;Var2;value;year;region;type
Food;lvst;10442976.4598001;2004;US;price
OtherUses;lvst;145334.356211086;2004;US;price
Food;crop;7753340.43207977;2004;CN;mass
OtherUses;crop;4738783.83394734;2004;CN;mass
Food;lvst;8572520.60116321;2004;CN;mass
OtherUses;lvst;4860198.10902053;2004;CN;mass
Food;crop;8575988.94688844;2004;CN;price
OtherUses;crop;7197401.61378003;2004;CN;price
Food;lvst;6150041.59192492;2004;CN;price
OtherUses;lvst;3802221.18291472;2004;CN;price
Food;crop;13060150.9343001;2005;EU;mass
OtherUses;crop;4263640.43163999;2005;EU;mass
Food;lvst;19048176.1446941;2005;EU;mass
OtherUses;lvst;2253960.51549485;2005;EU;mass
Food;crop;14277900.5698458;2005;EU;price
OtherUses;crop;5370360.0141408;2005;EU;price
Food;lvst;15552581.7012036;2005;EU;price
OtherUses;lvst;1454474.83511054;2005;EU;price
Food;crop;8537614.3669279;2005;US;mass
OtherUses;crop;2346499.01403139;2005;US;mass
Food;lvst;4937002.72536857;2005;US;mass
OtherUses;lvst;149445.813155338;2005;US;mass
Food;crop;8806231.04302843;2005;US;price
OtherUses;crop;2654309.48473024;2005;US;price
Food;lvst;5270777.21902591;2005;US;price
OtherUses;lvst;88354.8796240808;2005;US;price
Food;crop;5869172.33218069;2005;CN;mass
OtherUses;crop;5197921.72417571;2005;CN;mass
Food;lvst;8913503.52432705;2005;CN;mass
OtherUses;lvst;4818922.96403365;2005;CN;mass
Food;crop;6644774.40458209;2005;CN;price
OtherUses;crop;7930077.60389043;2005;CN;price
Food;lvst;6446352.26107254;2005;CN;price
OtherUses;lvst;3780393.62688629;2005;CN;price
Food;crop;15136783.9774268;2006;EU;mass
OtherUses;crop;5145286.84510502;2006;EU;mass
Food;lvst;19891844.4174042;2006;EU;mass
OtherUses;lvst;2114519.7462862;2006;EU;mass
Food;crop;16780855.0765257;2006;EU;price
OtherUses;crop;6679463.22247611;2006;EU;price
Food;lvst;16194180.681769;2006;EU;price
OtherUses;lvst;1412429.38395074;2006;EU;price
Food;crop;9062160.29440198;2006;US;mass
OtherUses;crop;2611078.23371641;2006;US;mass
Food;lvst;9964279.30433622;2006;US;mass
OtherUses;lvst;486324.988016919;2006;US;mass
Food;crop;9448733.1623224;2006;US;price
OtherUses;crop;3023385.16360453;2006;US;price
Food;lvst;10443172.4205991;2006;US;price
OtherUses;lvst;212797.926531986;2006;US;price
Food;crop;7251440.9079304;2006;CN;mass
OtherUses;crop;6123186.96839076;2006;CN;mass
Food;lvst;11228781.7214742;2006;CN;mass
OtherUses;lvst;6410098.36673606;2006;CN;mass
Food;crop;8379770.87844372;2006;CN;price
OtherUses;crop;9550137.79509284;2006;CN;price
Food;lvst;7460457.83665561;2006;CN;price
OtherUses;lvst;5093583.15921966;2006;CN;price
Food;crop;14953376.0350177;2007;EU;mass
OtherUses;crop;5283141.4835828;2007;EU;mass
Food;lvst;20397706.8776324;2007;EU;mass
OtherUses;lvst;2211048.77787801;2007;EU;mass
Food;crop;16598682.1920405;2007;EU;price
OtherUses;crop;6747775.23561687;2007;EU;price
Food;lvst;16755292.2162319;2007;EU;price
OtherUses;lvst;1389425.71556782;2007;EU;price
Food;crop;9693265.1798479;2007;US;mass
OtherUses;crop;2367486.03851234;2007;US;mass
Food;lvst;9847400.27251745;2007;US;mass
OtherUses;lvst;492532.200792399;2007;US;mass
Food;crop;10162556.2287682;2007;US;price
OtherUses;crop;2821363.34624517;2007;US;price
Food;lvst;10002079.5423119;2007;US;price
OtherUses;lvst;214244.393642822;2007;US;price
Food;crop;4775385.69590976;2007;CN;mass
OtherUses;crop;6088020.59867152;2007;CN;mass
Food;lvst;11731736.074291;2007;CN;mass
OtherUses;lvst;6903632.10152892;2007;CN;mass
Food;crop;6207382.20287718;2007;CN;price
OtherUses;crop;9727897.33694552;2007;CN;price
Food;lvst;7487599.41672006;2007;CN;price
OtherUses;lvst;5547232.14624501;2007;CN;price
Food;crop;14236967.3751886;2008;EU;mass
OtherUses;crop;4835390.75279224;2008;EU;mass
Food;lvst;19025346.0889397;2008;EU;mass
OtherUses;lvst;1967816.45647402;2008;EU;mass
Food;crop;15842892.779351;2008;EU;price
OtherUses;crop;5970807.77719955;2008;EU;price
Food;lvst;15263214.6648287;2008;EU;price
OtherUses;lvst;1217642.82289339;2008;EU;price
Food;crop;8705174.78022698;2008;US;mass
OtherUses;crop;2635001.92220238;2008;US;mass
Food;lvst;8785301.93749297;2008;US;mass
OtherUses;lvst;495457.777620217;2008;US;mass
Food;crop;9095242.42409748;2008;US;price
OtherUses;crop;3212033.1110823;2008;US;price
Food;lvst;8794095.31076039;2008;US;price
OtherUses;lvst;232479.498622533;2008;US;price
Food;crop;5231609.49164438;2008;CN;mass
OtherUses;crop;5943339.61933794;2008;CN;mass
Food;lvst;12947950.6409135;2008;CN;mass
OtherUses;lvst;6438382.43157749;2008;CN;mass
Food;crop;6350661.82115207;2008;CN;price
OtherUses;crop;9151406.1208906;2008;CN;price
Food;lvst;9506588.02171584;2008;CN;price
OtherUses;lvst;4586061.66846462;2008;CN;price
Food;crop;14333919.3555158;2009;EU;mass
OtherUses;crop;4975548.58631428;2009;EU;mass
Food;lvst;19782085.0290831;2009;EU;mass
OtherUses;lvst;1584549.57507087;2009;EU;mass
Food;crop;15648569.8292385;2009;EU;price
OtherUses;crop;6403480.87568754;2009;EU;price
Food;lvst;16104953.1749811;2009;EU;price
OtherUses;lvst;805305.506454068;2009;EU;price
Food;crop;9742591.9746448;2009;US;mass
OtherUses;crop;1990995.89069224;2009;US;mass
Food;lvst;8399614.90555701;2009;US;mass
OtherUses;lvst;401251.591673353;2009;US;mass
Food;crop;10013438.9462877;2009;US;price
OtherUses;crop;2400684.03228735;2009;US;price
Food;lvst;8862922.38051497;2009;US;price
OtherUses;lvst;154792.476680042;2009;US;price
Food;crop;5964585.48990987;2009;CN;mass
OtherUses;crop;7180759.88632147;2009;CN;mass
Food;lvst;14459724.5863276;2009;CN;mass
OtherUses;lvst;6944101.55142837;2009;CN;mass
Food;crop;7184090.24093377;2009;CN;price
OtherUses;crop;10799739.1635637;2009;CN;price
Food;lvst;10772823.666259;2009;CN;price
OtherUses;lvst;4427546.71732854;2009;CN;price
Food;crop;13838135.6773409;2010;EU;mass
OtherUses;crop;4827031.38621279;2010;EU;mass
Food;lvst;16797423.7978571;2010;EU;mass
