Var1;Var2;value;year;region;type
Food;lvst;54121834.2499724;2008;CN;mass
OtherUses;lvst;10064089.9057109;2008;CN;mass
Food;crop;99407640.0487566;2008;CN;price
OtherUses;crop;27166094.4466681;2008;CN;price
Food;lvst;45649017.7663953;2008;CN;price
OtherUses;lvst;8779748.66747857;2008;CN;price
Food;crop;45389184.1481914;2009;EU;mass
OtherUses;crop;10928693.9888567;2009;EU;mass
Food;lvst;80600094.6570257;2009;EU;mass
OtherUses;lvst;7633300.78678616;2009;EU;mass
Food;crop;48008174.9721926;2009;EU;price
OtherUses;crop;13673511.8826334;2009;EU;price
Food;lvst;79523556.2612169;2009;EU;price
OtherUses;lvst;3543108.05028013;2009;EU;price
Food;crop;29357865.0141858;2009;US;mass
OtherUses;crop;14804425.7946795;2009;US;mass
Food;lvst;55543899.1215524;2009;US;mass
OtherUses;lvst;4994347.02466469;2009;US;mass
Food;crop;31624705.448814;2009;US;price
OtherUses;crop;15399211.1088051;2009;US;price
Food;lvst;58454729.0964318;2009;US;price
OtherUses;lvst;1967247.466128;2009;US;price
Food;crop;97406658.0327501;2009;CN;mass
OtherUses;crop;22911030.5772904;2009;CN;mass
Food;lvst;58036078.9946793;2009;CN;mass
OtherUses;lvst;10769597.0933402;2009;CN;mass
Food;crop;100059688.61555;2009;CN;price
OtherUses;crop;29591333.5817902;2009;CN;price
Food;lvst;48624465.113567;2009;CN;price
OtherUses;lvst;9715658.20488465;2009;CN;price
Food;crop;46039096.4812151;2010;EU;mass
